Buffalo Chicken Wings,210,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F9%2F2015%2F12%2FHD-201202-r-baked-buffalo-chicken-wings.jpg&w=200&c=sc&poi=face&q=85,"Most of us think of Buffalo wings as bar food, but with their accompaniment of celery sticks and creamy blue-cheese dressing, they make a fine casual meal. These wings are hot, but if you like them incendiary, pass extra Tabasco sauce at the table.",yet to be added,yet to be added,American,Non Vegetarian,Appetizer
Lobster Rolls,250,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F9%2F2016%2F08%2Ffw200712_HD_briochelobster-fw200712_r_briochelobster.jpg&w=200&c=sc&poi=face&q=85,"These rolls, which are a delightful play on the traditional lobster roll, are quite substantial, so one per person is plenty, especially if you are serving additional hors d’oeuvres.",yet to be added,yet to be added,American,Non Vegetarian,Appetizer
Naan and Paneer,250,https://ministryofcurry.com/wp-content/uploads/2020/07/paneer-butter-masala_-2.jpg,"Butter, masala and paneer works so good with our garlic Naan",yet to be added,yet to be added,Indian,Vegetarian,Main Course
Prawn Biryani,275,https://www.cubesnjuliennes.com/wp-content/uploads/2020/12/Prawn-Biryani-Recipe.jpg,"Biryani, flavoursome in spirit of Hyderabad but this time, with prawns",yet to be added,yet to be added,Indian,Non Vegetarian,Main Course
Butter Chicken Burger,150,https://im.rediff.com/getahead/2020/jan/09burger.jpg,"All the flavour of butter chicken in a  burger instead of a Naan, for some change",yet to be added,yet to be added,Fusion,Non Vegetarian,Main Course
Fusion Burritos,150,https://skinnyms.com/wp-content/uploads/2018/05/Fusion-Lunch-Burritos-Vegan-Recipes.jpg,"Think of really good  spring rolls, only made with the salad dressing of your choice",yet to be added,yet to be added,Fusion,Vegan,Main Course
Rack of Lamb,300,https://static01.nyt.com/images/2017/12/06/dining/06kitchen1/merlin_130382108_ad578bfe-7ac6-45ab-aa20-96b892b4661d-articleLarge.jpg,"A brief marinade of pounded garlic and anchovy, Dijon mustard and olive oil heightens the flavour. For a simple accompaniment, roast small crushed potatoes in the same pan.",yet to be added,yet to be added,American,Non Vegetarian,Main Course
Perfect Pizza,180,https://gbc-cdn-public-media.azureedge.net/img54320.1426x713.jpg,"Bubbly and browned, crispy and crunchy, it is packed with nutty flavour.",yet to be added,yet to be added,American,Vegetarian,Main Course
Pumpkin Pistachio Risotto,210,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/madhulia/Pumpkin_Pistachio_Risotto.jpg,Pumpkin and Pistachios are paired together to make this aromatic Italian style rice preparation. The humble pumpkin adds its characteristic sweetness to this creamy rice.,yet to be added,yet to be added,Italian,Vegetarian,Main Course
Gnocchi Pasta,210,https://i.insider.com/5f6a3b5649479600287bd8af?width=1000&format=jpeg&auto=webp,"Russet potatoes and burnt flour, which is actually this refined flour thats been toasted to almost a burnt state, goes so well with Gnocchi in the pasta.",yet to be added,yet to be added,Italian,Non Vegetarian,Main Course
Moongdal Halwa,150,https://www.vegrecipesofindia.com/wp-content/uploads/2014/03/moong-dal-halwa-recipe15.jpg,Moong dal halwa is an addictive and delicious halwa variety made from mung lentils and ghee (clarified butter),yet to be added,yet to be added,Indian,Vegetarian,Desserts
Assorted Cannoli,400,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Cannoli_siciliani_%287472226896%29.jpg/1200px-Cannoli_siciliani_%287472226896%29.jpg,"tube-shaped shells of fried pastry dough, filled with a sweet, creamy filling containing ricotta three ways",yet to be added,yet to be added,Italian,Vegetarian,Desserts
Raspberry Cheesecake,210,"https://cdn.apartmenttherapy.info/image/upload/f_jpg,q_auto:eco,c_fill,g_auto,w_1500,ar_4:3/k%2Farchive%2F7b084eaf9d7d564dd2667094c3dd1260a5e4d646",Raspberry topped cheesecake with our delicate twist,yet to be added,yet to be added,American,Vegetarian,Desserts
Fusion Tiramisu,300,https://photo2.foodgawker.com/wp-content/uploads/2014/09/1916438.jpg,Genoise sponge soaked in coffee and liqueur with a light mascarpone cream,yet to be added,yet to be added,Fusion,Vegetarian,Desserts
